02/01/2022 09:37:55 PM: [ reading vocab files... ]
02/01/2022 09:37:55 PM: [ Reading mid to name map ]
02/01/2022 09:37:55 PM: [ Done.. ]
02/01/2022 09:37:55 PM: [ Total number of entities 273 ]
02/01/2022 09:37:55 PM: [ Total number of relations 6 ]
02/01/2022 09:37:57 PM: [ <tensorflow.python.keras.layers.legacy_rnn.rnn_cell_impl.LSTMCell object at 0x0000023D8334DE20>: Note that this cell is not optimized for performance. Please use tf.contrib.cudnn_rnn.CudnnLSTM for better performance on GPU. ]
02/01/2022 09:37:57 PM: [ `tf.nn.rnn_cell.MultiRNNCell` is deprecated. This class is equivalent as `tf.keras.layers.StackedRNNCells`, and will be replaced by that in Tensorflow 2.0. ]
02/01/2022 09:38:07 PM: [ batch_counter:   33, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1226 ]
02/01/2022 09:38:07 PM: [ batch_counter:   34, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1252 ]
02/01/2022 09:38:07 PM: [ batch_counter:   35, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1277 ]
02/01/2022 09:38:08 PM: [ batch_counter:   36, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1302 ]
02/01/2022 09:38:08 PM: [ batch_counter:   37, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1326 ]
02/01/2022 09:38:08 PM: [ batch_counter:   38, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1350 ]
02/01/2022 09:38:08 PM: [ batch_counter:   39, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1374 ]
02/01/2022 09:38:09 PM: [ batch_counter:   40, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1396 ]
02/01/2022 09:38:09 PM: [ batch_counter:   41, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1419 ]
02/01/2022 09:38:09 PM: [ batch_counter:   42, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1441 ]
02/01/2022 09:38:10 PM: [ batch_counter:   43, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1463 ]
02/01/2022 09:38:10 PM: [ batch_counter:   44, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1485 ]
02/01/2022 09:38:10 PM: [ batch_counter:   45, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1505 ]
02/01/2022 09:38:10 PM: [ batch_counter:   46, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1525 ]
02/01/2022 09:38:11 PM: [ batch_counter:   47, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1544 ]
02/01/2022 09:38:11 PM: [ batch_counter:   48, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1563 ]
02/01/2022 09:38:11 PM: [ batch_counter:   49, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1583 ]
02/01/2022 09:38:11 PM: [ batch_counter:   50, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1602 ]
02/01/2022 09:38:12 PM: [ batch_counter:   51, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1620 ]
02/01/2022 09:38:12 PM: [ batch_counter:   52, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1639 ]
02/01/2022 09:38:12 PM: [ batch_counter:   53, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1656 ]
02/01/2022 09:38:13 PM: [ batch_counter:   54, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1674 ]
02/01/2022 09:38:13 PM: [ batch_counter:   55, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1691 ]
02/01/2022 09:38:13 PM: [ batch_counter:   56, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1708 ]
02/01/2022 09:38:13 PM: [ batch_counter:   57, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1724 ]
02/01/2022 09:38:14 PM: [ batch_counter:   58, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1740 ]
02/01/2022 09:38:14 PM: [ batch_counter:   59, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1756 ]
02/01/2022 09:38:14 PM: [ batch_counter:   60, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1771 ]
02/01/2022 09:38:15 PM: [ batch_counter:   61, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1786 ]
02/01/2022 09:38:15 PM: [ batch_counter:   62, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1801 ]
02/01/2022 09:38:15 PM: [ batch_counter:   63, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1815 ]
02/01/2022 09:38:15 PM: [ batch_counter:   64, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1829 ]
02/01/2022 09:38:15 PM: [ batch_counter:   65, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1843 ]
02/01/2022 09:38:16 PM: [ batch_counter:   66, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1857 ]
02/01/2022 09:38:16 PM: [ batch_counter:   67, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1870 ]
02/01/2022 09:38:16 PM: [ batch_counter:   68, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1882 ]
02/01/2022 09:38:16 PM: [ batch_counter:   69, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1895 ]
02/01/2022 09:38:17 PM: [ batch_counter:   70, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1908 ]
02/01/2022 09:38:17 PM: [ batch_counter:   71, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1921 ]
02/01/2022 09:38:17 PM: [ batch_counter:   72, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1933 ]
02/01/2022 09:38:18 PM: [ batch_counter:   73, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1945 ]
02/01/2022 09:38:18 PM: [ batch_counter:   74, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1956 ]
02/01/2022 09:38:18 PM: [ batch_counter:   75, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1967 ]
02/01/2022 09:38:19 PM: [ batch_counter:   76, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1979 ]
02/01/2022 09:38:19 PM: [ batch_counter:   77, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.1990 ]
02/01/2022 09:38:19 PM: [ batch_counter:   78, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.2000 ]
02/01/2022 09:38:19 PM: [ batch_counter:   79, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.2011 ]
02/01/2022 09:38:20 PM: [ batch_counter:   80, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.2022 ]
02/01/2022 09:38:20 PM: [ batch_counter:   81, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.2032 ]
02/01/2022 09:38:20 PM: [ batch_counter:   82, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.2042 ]
02/01/2022 09:38:20 PM: [ batch_counter:   83, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.2051 ]
02/01/2022 09:38:21 PM: [ batch_counter:   84, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.2061 ]
02/01/2022 09:38:21 PM: [ batch_counter:   85, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.2070 ]
02/01/2022 09:38:21 PM: [ batch_counter:   86, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.2079 ]
02/01/2022 09:38:21 PM: [ batch_counter:   87, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.2089 ]
02/01/2022 09:38:22 PM: [ batch_counter:   88, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.2097 ]
02/01/2022 09:38:22 PM: [ batch_counter:   89, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.2106 ]
02/01/2022 09:38:22 PM: [ batch_counter:   90, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.2114 ]
