id,truncated,total connections,actual connections,appearance count,correct appearances,incorrect appearances,vocab
11346,FALSE,15,16,26,0,26,/m/03j_hq
,,,,,,,
11447,FALSE,10,11,26,0,26,/m/0ml_m
,,,,,,,
11476,FALSE,9,10,26,0,26,/m/03lpd0
,,,,,,,
12136,FALSE,16,17,26,0,26,/m/031v3p
,,,,,,,
12186,FALSE,18,19,26,0,26,/m/02swsm
,,,,,,,
12413,FALSE,10,11,26,0,26,/m/03fhjz
,,,,,,,
12529,FALSE,22,23,26,0,26,/m/027kwc
,,,,,,,
12727,FALSE,20,21,26,0,26,/m/04mvp8
,,,,,,,
12794,FALSE,42,43,26,0,26,/m/0789r6
,,,,,,,
12812,FALSE,8,9,26,0,26,/m/06lhbl
,,,,,,,
12865,FALSE,11,12,26,0,26,/m/01_bp
,,,,,,,
12919,FALSE,11,12,26,0,26,/m/05m7zg
,,,,,,,
13059,FALSE,4,5,26,0,26,/m/06v99d
,,,,,,,
13145,FALSE,8,9,26,0,26,/m/0nty_
,,,,,,,
13584,FALSE,8,9,26,0,26,/m/02t0n9
,,,,,,,
13604,FALSE,18,19,26,0,26,/m/02ryyk
,,,,,,,
14209,FALSE,4,5,26,0,26,/m/0bm4j
,,,,,,,
1064,FALSE,391,392,286,1,285,/m/0gqwc
,,,,,,,
1667,FALSE,317,318,286,1,285,/m/01g63y
,,,,,,,
881,FALSE,330,331,279,1,278,/m/041rx
,,,,,,,
96,FALSE,41,42,25,0,25,/m/03rl1g
,,,,,,,
111,FALSE,41,42,25,0,25,/m/0b2v79
,,,,,,,
186,FALSE,36,37,25,0,25,/m/06cqb
,,,,,,,
220,FALSE,25,26,25,0,25,/m/04cy8rb
,,,,,,,
364,FALSE,11,12,25,0,25,/m/04rs03
,,,,,,,
510,FALSE,41,42,25,0,25,/m/04r7jc
,,,,,,,
626,FALSE,48,49,25,0,25,/m/0p_sc
,,,,,,,
651,FALSE,38,39,25,0,25,/m/0cwrr
,,,,,,,
777,FALSE,41,42,25,0,25,/m/03d_w3h
,,,,,,,
884,FALSE,59,60,25,0,25,/m/0gqzz
,,,,,,,
1124,FALSE,33,34,25,0,25,/m/04mzf8
,,,,,,,
1152,FALSE,59,60,25,0,25,/m/09qr6
,,,,,,,
1190,FALSE,42,43,25,0,25,/m/0gcdzz
,,,,,,,
1223,FALSE,48,49,25,0,25,/m/01p9hgt
,,,,,,,
1355,FALSE,44,45,25,0,25,/m/05tk7y
,,,,,,,
1357,FALSE,41,42,25,0,25,/m/0gj9qxr
,,,,,,,
1405,FALSE,28,29,25,0,25,/m/073hmq
,,,,,,,
1430,FALSE,21,22,25,0,25,/m/0436yk
,,,,,,,
1456,FALSE,88,89,25,0,25,/m/01hww_
,,,,,,,
1638,FALSE,38,39,25,0,25,/m/01htzx
,,,,,,,
1666,FALSE,35,36,25,0,25,/m/01t07j
,,,,,,,
2104,FALSE,54,55,25,0,25,/m/07wjk
,,,,,,,
2119,FALSE,37,38,25,0,25,/m/0ct5zc
,,,,,,,
2137,FALSE,20,21,25,0,25,/m/05c0jwl
,,,,,,,
2272,FALSE,50,51,25,0,25,/m/0418wg
,,,,,,,
2276,FALSE,26,27,25,0,25,/m/029cr
,,,,,,,
2282,FALSE,15,16,25,0,25,/m/01jqr_5
,,,,,,,
2408,FALSE,29,30,25,0,25,/m/03n0q5
,,,,,,,
2436,FALSE,57,58,25,0,25,/m/0blq0z
,,,,,,,
2469,FALSE,36,37,25,0,25,/m/02qyxs5
,,,,,,,
2757,FALSE,58,59,25,0,25,/m/045j3w
,,,,,,,
2820,FALSE,54,55,25,0,25,/m/05q5t0b
,,,,,,,
2851,FALSE,36,37,25,0,25,/m/01_gx_
,,,,,,,
2934,FALSE,85,86,25,0,25,/m/01846t
,,,,,,,
3120,FALSE,19,20,25,0,25,/m/07qy0b
,,,,,,,
3246,FALSE,31,32,25,0,25,/m/01z0rcq
,,,,,,,
3518,FALSE,43,44,25,0,25,/m/015wnl
,,,,,,,
3605,FALSE,24,25,25,0,25,/m/01fs_4
,,,,,,,
3641,FALSE,35,36,25,0,25,/m/02rq8k8
,,,,,,,
3944,FALSE,41,42,25,0,25,/m/061xq
,,,,,,,
4034,FALSE,24,25,25,0,25,/m/04511f
,,,,,,,
4179,FALSE,27,28,25,0,25,/m/09fn1w
,,,,,,,
4205,FALSE,97,98,25,0,25,/m/026g73
,,,,,,,
4409,FALSE,54,55,25,0,25,/m/04cl1
,,,,,,,
4825,FALSE,40,41,25,0,25,/m/02r_pp
,,,,,,,
4834,FALSE,41,42,25,0,25,/m/0bkbm
,,,,,,,
4987,FALSE,21,22,25,0,25,/m/0b_6h7
,,,,,,,
5052,FALSE,65,66,25,0,25,/m/011yn5
,,,,,,,
5075,FALSE,34,35,25,0,25,/m/049gc
,,,,,,,
5120,FALSE,55,56,25,0,25,/m/03h_fqv
,,,,,,,
5225,FALSE,60,61,25,0,25,/m/07l50vn
,,,,,,,
5319,FALSE,23,24,25,0,25,/m/0g6ff
,,,,,,,
5323,FALSE,42,43,25,0,25,/m/01fx1l
,,,,,,,
5471,FALSE,45,46,25,0,25,/m/0175wg
,,,,,,,
5657,FALSE,17,18,25,0,25,/m/02p0qmm
,,,,,,,
5706,FALSE,38,39,25,0,25,/m/0hv81
,,,,,,,
5911,FALSE,17,18,25,0,25,/m/02fs_d
,,,,,,,
5996,FALSE,48,49,25,0,25,/m/015q1n
,,,,,,,
5998,FALSE,32,33,25,0,25,/m/048xyn
,,,,,,,
6012,FALSE,28,29,25,0,25,/m/02f75t
,,,,,,,
6457,FALSE,14,15,25,0,25,/m/0dj5q
,,,,,,,
6773,FALSE,52,53,25,0,25,/m/018ljb
,,,,,,,
6785,FALSE,29,30,25,0,25,/m/06v41q
,,,,,,,
6803,FALSE,43,44,25,0,25,/m/03q8xj
,,,,,,,
6810,FALSE,74,75,25,0,25,/m/019x62
,,,,,,,
6889,FALSE,48,49,25,0,25,/m/01wd9vs
,,,,,,,
6954,FALSE,31,32,25,0,25,/m/012vct
,,,,,,,
6987,FALSE,43,44,25,0,25,/m/04tng0
,,,,,,,
7097,FALSE,45,46,25,0,25,/m/0484q
,,,,,,,
7126,FALSE,10,11,25,0,25,/m/0bjy7
,,,,,,,
7273,FALSE,39,40,25,0,25,/m/014gjp
,,,,,,,
7321,FALSE,9,10,25,0,25,/m/05f_3
,,,,,,,
7405,FALSE,31,32,25,0,25,/m/043c4j
,,,,,,,
7413,FALSE,44,45,25,0,25,/m/026m9w
,,,,,,,
7626,FALSE,19,20,25,0,25,/m/04fgzb0
,,,,,,,
7736,FALSE,37,38,25,0,25,/m/0c53vt
,,,,,,,
7751,FALSE,29,30,25,0,25,/m/04f6df0
,,,,,,,
8148,FALSE,38,39,25,0,25,/m/021996
,,,,,,,
8229,FALSE,36,37,25,0,25,/m/01zwy
,,,,,,,
8254,FALSE,52,53,25,0,25,/m/05zr0xl
,,,,,,,
8338,FALSE,34,35,25,0,25,/m/0bkq7
,,,,,,,
8351,FALSE,5,6,25,0,25,/m/01vx3m
,,,,,,,
8435,FALSE,31,32,25,0,25,/m/0d075m
,,,,,,,
8530,FALSE,10,11,25,0,25,/m/09949m
,,,,,,,
8736,FALSE,10,11,25,0,25,/m/030dx5
,,,,,,,
8834,FALSE,36,37,25,0,25,/m/02hxcvy
,,,,,,,
9094,FALSE,46,47,25,0,25,/m/01vhrz
,,,,,,,
9193,FALSE,21,22,25,0,25,/m/0l2rj
,,,,,,,
9200,FALSE,24,25,25,0,25,/m/05nrkb
,,,,,,,
9458,FALSE,37,38,25,0,25,/m/03rx9
,,,,,,,
9491,FALSE,32,33,25,0,25,/m/02knxx
,,,,,,,
9500,FALSE,23,24,25,0,25,/m/023zsh
,,,,,,,
9502,FALSE,27,28,25,0,25,/m/0cwtm
,,,,,,,
9514,FALSE,24,25,25,0,25,/m/07d3x
,,,,,,,
9743,FALSE,22,23,25,0,25,/m/0pr6f
,,,,,,,
9752,FALSE,7,8,25,0,25,/m/0fg_hg
,,,,,,,
9769,FALSE,37,38,25,0,25,/m/01fx4k
,,,,,,,
9881,FALSE,62,63,25,0,25,/m/01ggc9
,,,,,,,
9886,FALSE,10,11,25,0,25,/m/01j53q
,,,,,,,
9896,FALSE,14,15,25,0,25,/m/01gqg3
,,,,,,,
9979,FALSE,62,63,25,0,25,/m/016tbr
,,,,,,,
9990,FALSE,27,28,25,0,25,/m/06196
,,,,,,,
10181,FALSE,9,10,25,0,25,/m/07f0tw
,,,,,,,
10347,FALSE,22,23,25,0,25,/m/01w20rx
,,,,,,,
10462,FALSE,38,39,25,0,25,/m/0301yj
,,,,,,,
10490,FALSE,17,18,25,0,25,/m/042kbj
,,,,,,,
10522,FALSE,43,44,25,0,25,/m/01gt99
,,,,,,,
10527,FALSE,15,16,25,0,25,/m/03bnb
,,,,,,,
10731,FALSE,8,9,25,0,25,/m/0ftjx
,,,,,,,
10957,FALSE,10,11,25,0,25,/m/0pkgt
,,,,,,,
11162,FALSE,28,29,25,0,25,/m/01vv6xv
,,,,,,,
11521,FALSE,9,10,25,0,25,/m/0bqtx
,,,,,,,
11544,FALSE,8,9,25,0,25,/m/02y8bn
,,,,,,,
11589,FALSE,19,20,25,0,25,/m/02kxx1
,,,,,,,
11694,FALSE,28,29,25,0,25,/m/050xpd
,,,,,,,
11746,FALSE,12,13,25,0,25,/m/0fkhz
,,,,,,,
11793,FALSE,6,7,25,0,25,/m/02rfft
,,,,,,,
12043,FALSE,10,11,25,0,25,/m/0300ml
,,,,,,,
12649,FALSE,11,12,25,0,25,/m/0cv_2
,,,,,,,
12667,FALSE,7,8,25,0,25,/m/02gnj2
,,,,,,,
12687,FALSE,6,7,25,0,25,/m/014kj2
,,,,,,,
12693,FALSE,8,9,25,0,25,/m/01rthc
,,,,,,,
12712,FALSE,8,9,25,0,25,/m/03vv61
,,,,,,,
12855,FALSE,17,18,25,0,25,/m/03qkcn9
,,,,,,,
13102,FALSE,5,6,25,0,25,/m/07bbc
,,,,,,,
13206,FALSE,13,14,25,0,25,/m/01cdt5
,,,,,,,
13599,FALSE,11,12,25,0,25,/m/011lpr
,,,,,,,
13655,FALSE,8,9,25,0,25,/m/0bvls5
,,,,,,,
13725,FALSE,6,7,25,0,25,/m/0mnrb
,,,,,,,
14178,FALSE,8,9,25,0,25,/m/02m30v
,,,,,,,
933,FALSE,401,402,271,1,270,/m/019f4v
,,,,,,,
2281,FALSE,268,269,269,1,268,/m/0x67
,,,,,,,
132,FALSE,27,28,24,0,24,/m/0411q
,,,,,,,
517,FALSE,32,33,24,0,24,/m/0gbbt
,,,,,,,
535,FALSE,29,30,24,0,24,/m/0170_p
,,,,,,,
848,FALSE,43,44,24,0,24,/m/04dsnp
,,,,,,,
936,FALSE,16,17,24,0,24,/m/0yc84
,,,,,,,
1260,FALSE,50,51,24,0,24,/m/04zyhx
,,,,,,,
1284,FALSE,32,33,24,0,24,/m/07y9w5
,,,,,,,
1361,FALSE,25,26,24,0,24,/m/03qmj9
,,,,,,,
1392,FALSE,53,54,24,0,24,/m/0p_th
,,,,,,,
1448,FALSE,74,75,24,0,24,/m/05ljv7
,,,,,,,
1695,FALSE,54,55,24,0,24,/m/09146g
,,,,,,,
1764,FALSE,34,35,24,0,24,/m/04y9dk
,,,,,,,
1926,FALSE,31,32,24,0,24,/m/0dplh
,,,,,,,
2223,FALSE,28,29,24,0,24,/m/02pjxr
,,,,,,,
2335,FALSE,29,30,24,0,24,/m/0pvms
,,,,,,,
2380,FALSE,47,48,24,0,24,/m/02q56mk
,,,,,,,
2438,FALSE,31,32,24,0,24,/m/01y0s9
,,,,,,,
2532,FALSE,31,32,24,0,24,/m/03m73lj
,,,,,,,
2682,FALSE,39,40,24,0,24,/m/0p7qm
,,,,,,,
2785,FALSE,39,40,24,0,24,/m/0fy6bh
,,,,,,,
2837,FALSE,48,49,24,0,24,/m/023gxx
,,,,,,,
2947,FALSE,27,28,24,0,24,/m/0jrny
,,,,,,,
3012,FALSE,6,7,24,0,24,/m/0rp46
,,,,,,,
3085,FALSE,36,37,24,0,24,/m/02pq_rp
,,,,,,,
3165,FALSE,78,79,24,0,24,/m/02w4b
,,,,,,,
3269,FALSE,18,19,24,0,24,/m/01v3bn
,,,,,,,
3334,FALSE,43,44,24,0,24,/m/0jw67
,,,,,,,
3380,FALSE,43,44,24,0,24,/m/02ny6g
,,,,,,,
3397,FALSE,51,52,24,0,24,/m/01w8n89
,,,,,,,
3414,FALSE,61,62,24,0,24,/m/05tg3
,,,,,,,
3519,FALSE,35,36,24,0,24,/m/0kvgtf
,,,,,,,
3666,FALSE,52,53,24,0,24,/m/01vvyfh
,,,,,,,
3748,FALSE,64,65,24,0,24,/m/0gj50
,,,,,,,
3766,FALSE,46,47,24,0,24,/m/01c8v0
,,,,,,,
3769,FALSE,27,28,24,0,24,/m/0g9yrw
,,,,,,,
4027,FALSE,25,26,24,0,24,/m/0zm1
,,,,,,,
4162,FALSE,36,37,24,0,24,/m/07k8rt4
,,,,,,,
4191,FALSE,29,30,24,0,24,/m/0m_q0
,,,,,,,
4268,FALSE,37,38,24,0,24,/m/02phtzk
,,,,,,,
4356,FALSE,44,45,24,0,24,/m/01msrb
,,,,,,,
4486,FALSE,44,45,24,0,24,/m/0gkjy
,,,,,,,
4521,FALSE,32,33,24,0,24,/m/06t6dz
,,,,,,,
4649,FALSE,24,25,24,0,24,/m/01bcq
,,,,,,,
4700,FALSE,32,33,24,0,24,/m/0cqnss
,,,,,,,
4799,FALSE,27,28,24,0,24,/m/06d4h
,,,,,,,
4852,FALSE,43,44,24,0,24,/m/07z6xs
,,,,,,,
4870,FALSE,31,32,24,0,24,/m/015xp4
,,,,,,,
5016,FALSE,44,45,24,0,24,/m/0534v
,,,,,,,
5059,FALSE,33,34,24,0,24,/m/02f2p7
,,,,,,,
5189,FALSE,44,45,24,0,24,/m/046m59
,,,,,,,
5274,FALSE,31,32,24,0,24,/m/017khj
,,,,,,,
5604,FALSE,25,26,24,0,24,/m/01jfr3y
,,,,,,,
5821,FALSE,67,68,24,0,24,/m/0bq6ntw
,,,,,,,
5853,FALSE,38,39,24,0,24,/m/0gjv_
,,,,,,,
5864,FALSE,25,26,24,0,24,/m/06hx2
,,,,,,,
5967,FALSE,36,37,24,0,24,/m/04bdzg
,,,,,,,
6215,FALSE,14,15,24,0,24,/m/0pzmf
,,,,,,,
6276,FALSE,15,16,24,0,24,/m/0y9j
,,,,,,,
6341,FALSE,38,39,24,0,24,/m/03x400
,,,,,,,
6622,FALSE,46,47,24,0,24,/m/02z0f6l
,,,,,,,
6752,FALSE,15,16,24,0,24,/m/07k2x
,,,,,,,
6768,FALSE,35,36,24,0,24,/m/06_bq1
,,,,,,,
6791,FALSE,38,39,24,0,24,/m/0z05l
,,,,,,,
6825,FALSE,29,30,24,0,24,/m/0dpl44
,,,,,,,
6850,FALSE,35,36,24,0,24,/m/03p2xc
,,,,,,,
7115,FALSE,51,52,24,0,24,/m/02vz6dn
,,,,,,,
7199,FALSE,53,54,24,0,24,/m/028hc2
,,,,,,,
7213,FALSE,43,44,24,0,24,/m/01qb559
,,,,,,,
7236,FALSE,37,38,24,0,24,/m/06x43v
,,,,,,,
7340,FALSE,33,34,24,0,24,/m/01bk1y
,,,,,,,
7414,FALSE,57,58,24,0,24,/m/0bt4g
,,,,,,,
7505,FALSE,46,47,24,0,24,/m/05z43v
,,,,,,,
7588,FALSE,8,9,24,0,24,/m/087_wh
,,,,,,,
7853,FALSE,46,47,24,0,24,/m/0q9jk
,,,,,,,
7889,FALSE,22,23,24,0,24,/m/06ch55
,,,,,,,
8145,FALSE,57,58,24,0,24,/m/027n4zv
,,,,,,,
8216,FALSE,44,45,24,0,24,/m/0ds5_72
,,,,,,,
8350,FALSE,11,12,24,0,24,/m/044_7j
,,,,,,,
8357,FALSE,20,21,24,0,24,/m/0k60
,,,,,,,
8417,FALSE,8,9,24,0,24,/m/03xyp_
,,,,,,,
8875,FALSE,40,41,24,0,24,/m/01s7w3
,,,,,,,
9093,FALSE,33,34,24,0,24,/m/024dzn
,,,,,,,
9170,FALSE,56,57,24,0,24,/m/06bzwt
,,,,,,,
9306,FALSE,8,9,24,0,24,/m/0cg39k
,,,,,,,
9434,FALSE,13,14,24,0,24,/m/0fhnf
,,,,,,,
9607,FALSE,20,21,24,0,24,/m/0kvt9
,,,,,,,
9716,FALSE,30,31,24,0,24,/m/03cwwl
,,,,,,,
9834,FALSE,41,42,24,0,24,/m/0bmhn
,,,,,,,
9867,FALSE,30,31,24,0,24,/m/04z4j2
,,,,,,,
10178,FALSE,32,33,24,0,24,/m/0gldyz
,,,,,,,
10183,FALSE,24,25,24,0,24,/m/09xrxq
,,,,,,,
10627,FALSE,10,11,24,0,24,/m/03915c
,,,,,,,
10745,FALSE,48,49,24,0,24,/m/01s7ns
,,,,,,,
10805,FALSE,22,23,24,0,24,/m/0y1rf
,,,,,,,
11002,FALSE,6,7,24,0,24,/m/01xjx6
,,,,,,,
11155,FALSE,9,10,24,0,24,/m/03w6sj
,,,,,,,
11257,FALSE,17,18,24,0,24,/m/02pcq92
,,,,,,,
11329,FALSE,32,33,24,0,24,/m/03cffvv
,,,,,,,
11390,FALSE,19,20,24,0,24,/m/07qht4
,,,,,,,
11691,FALSE,8,9,24,0,24,/m/033071
,,,,,,,
11713,FALSE,19,20,24,0,24,/m/0c5qvw
,,,,,,,
11715,FALSE,53,54,24,0,24,/m/03s9kp
,,,,,,,
11958,FALSE,10,11,24,0,24,/m/06f0k
,,,,,,,
12013,FALSE,16,17,24,0,24,/m/0mr_8
,,,,,,,
12089,FALSE,22,23,24,0,24,/m/026dqjm
,,,,,,,
12352,FALSE,11,12,24,0,24,/m/01jlsn
,,,,,,,
12414,FALSE,7,8,24,0,24,/m/0n4z2
,,,,,,,
12525,FALSE,39,40,24,0,24,/m/0prpt
,,,,,,,
12608,FALSE,5,6,24,0,24,/m/015vql
,,,,,,,
13277,FALSE,4,5,24,0,24,/m/051q39
,,,,,,,
2848,FALSE,257,258,262,1,261,/m/05jxkf
,,,,,,,
873,TRUE,577,500,495,2,493,/m/03gjzk
,,,,,,,
2125,FALSE,381,382,257,1,256,/m/0nbcg
,,,,,,,
150,FALSE,41,42,23,0,23,/m/02v8kmz
,,,,,,,
300,FALSE,45,46,23,0,23,/m/02_1q9
,,,,,,,
317,FALSE,33,34,23,0,23,/m/034qrh
,,,,,,,
339,FALSE,33,34,23,0,23,/m/05zkcn5
,,,,,,,
470,FALSE,26,27,23,0,23,/m/0bzk8w
,,,,,,,
491,FALSE,28,29,23,0,23,/m/0cpllql
,,,,,,,
564,FALSE,31,32,23,0,23,/m/02qggqc
,,,,,,,
569,FALSE,21,22,23,0,23,/m/02jcc
,,,,,,,
641,FALSE,55,56,23,0,23,/m/087wc7n
,,,,,,,
668,FALSE,35,36,23,0,23,/m/02hxhz
,,,,,,,
755,FALSE,37,38,23,0,23,/m/03cvwkr
,,,,,,,
877,FALSE,50,51,23,0,23,/m/02qm_f
,,,,,,,
924,FALSE,11,12,23,0,23,/m/01mc11
,,,,,,,
1127,FALSE,47,48,23,0,23,/m/069q4f
,,,,,,,
1141,FALSE,14,15,23,0,23,/m/0n5fl
,,,,,,,
1172,FALSE,44,45,23,0,23,/m/01c9f2
,,,,,,,
1259,FALSE,51,52,23,0,23,/m/0pb33
,,,,,,,
1353,FALSE,25,26,23,0,23,/m/0j582
,,,,,,,
1383,FALSE,38,39,23,0,23,/m/0ctt4z
,,,,,,,
1480,FALSE,47,48,23,0,23,/m/017v_
,,,,,,,
1554,FALSE,25,26,23,0,23,/m/02khs
,,,,,,,
1735,FALSE,24,25,23,0,23,/m/014dq7
,,,,,,,
1737,FALSE,39,40,23,0,23,/m/0fy34l
,,,,,,,
2113,FALSE,57,58,23,0,23,/m/016z9n
,,,,,,,
2872,FALSE,45,46,23,0,23,/m/0qmd5
,,,,,,,
2949,FALSE,36,37,23,0,23,/m/084302
,,,,,,,
3005,FALSE,49,50,23,0,23,/m/0gh8zks
,,,,,,,
3160,FALSE,26,27,23,0,23,/m/01f3p_
,,,,,,,
3175,FALSE,37,38,23,0,23,/m/01jdpf
,,,,,,,
3379,FALSE,35,36,23,0,23,/m/04vvh9
,,,,,,,
3477,FALSE,24,25,23,0,23,/m/01y0y6
,,,,,,,
3513,FALSE,21,22,23,0,23,/m/02k13d
,,,,,,,
3821,FALSE,31,32,23,0,23,/m/01rf57
,,,,,,,
3839,FALSE,49,50,23,0,23,/m/01m1dzc
,,,,,,,
4237,FALSE,39,40,23,0,23,/m/06z68
,,,,,,,
4264,FALSE,48,49,23,0,23,/m/07j94
,,,,,,,
4358,FALSE,22,23,23,0,23,/m/01s3kv
,,,,,,,
4399,FALSE,38,39,23,0,23,/m/0499lc
,,,,,,,
4408,FALSE,42,43,23,0,23,/m/026spg
,,,,,,,
4492,FALSE,28,29,23,0,23,/m/037hgm
,,,,,,,
4729,FALSE,95,96,23,0,23,/m/015t7v
,,,,,,,
4754,FALSE,37,38,23,0,23,/m/0prrm
,,,,,,,
4772,FALSE,41,42,23,0,23,/m/0d7wh
,,,,,,,
4973,FALSE,33,34,23,0,23,/m/01pvxl
,,,,,,,
5080,FALSE,52,53,23,0,23,/m/0c00lh
,,,,,,,
5098,FALSE,29,30,23,0,23,/m/0ftlxj
,,,,,,,
5402,FALSE,38,39,23,0,23,/m/05rfst
,,,,,,,
5448,FALSE,41,42,23,0,23,/m/01l1rw
,,,,,,,
5548,FALSE,55,56,23,0,23,/m/03wnh
,,,,,,,
5621,FALSE,25,26,23,0,23,/m/0k_p5
,,,,,,,
5863,FALSE,50,51,23,0,23,/m/06cm5
,,,,,,,
5882,FALSE,16,17,23,0,23,/m/04htfd
,,,,,,,
5977,FALSE,21,22,23,0,23,/m/0n5gq
,,,,,,,
6055,FALSE,38,39,23,0,23,/m/029ql
,,,,,,,
6111,FALSE,40,41,23,0,23,/m/047myg9
,,,,,,,
6157,FALSE,22,23,23,0,23,/m/012vf6
,,,,,,,
6168,FALSE,36,37,23,0,23,/m/012q4n
,,,,,,,
6251,FALSE,39,40,23,0,23,/m/0gfh84d
,,,,,,,
6271,FALSE,6,7,23,0,23,/m/03nbbv
,,,,,,,
6298,FALSE,22,23,23,0,23,/m/029g_vk
,,,,,,,
6318,FALSE,21,22,23,0,23,/m/026kqs9
,,,,,,,
6420,FALSE,35,36,23,0,23,/m/01vb6z
,,,,,,,
6461,FALSE,39,40,23,0,23,/m/019bnn
,,,,,,,
6674,FALSE,31,32,23,0,23,/m/0lphb
,,,,,,,
6679,FALSE,36,37,23,0,23,/m/03s9b
,,,,,,,
6715,FALSE,24,25,23,0,23,/m/01p1z_
,,,,,,,
6840,FALSE,16,17,23,0,23,/m/06hzsx
,,,,,,,
6873,FALSE,13,14,23,0,23,/m/01ym8l
,,,,,,,
7036,FALSE,29,30,23,0,23,/m/047vp1n
,,,,,,,
7092,FALSE,54,55,23,0,23,/m/0cf08
,,,,,,,
7150,FALSE,39,40,23,0,23,/m/035gnh
,,,,,,,
7275,FALSE,31,32,23,0,23,/m/01wqmm8
,,,,,,,
7295,FALSE,37,38,23,0,23,/m/09pj68
,,,,,,,
7309,FALSE,25,26,23,0,23,/m/01vz80y
,,,,,,,
7329,FALSE,21,22,23,0,23,/m/0432cd
,,,,,,,
7788,FALSE,9,10,23,0,23,/m/01zlwg6
,,,,,,,
7813,FALSE,37,38,23,0,23,/m/02w29z
,,,,,,,
7820,FALSE,32,33,23,0,23,/m/01nms7
,,,,,,,
7821,FALSE,31,32,23,0,23,/m/02p68d
,,,,,,,
7832,FALSE,35,36,23,0,23,/m/07147
,,,,,,,
7833,FALSE,34,35,23,0,23,/m/04g73n
,,,,,,,
7899,FALSE,10,11,23,0,23,/m/0n22z
,,,,,,,
7982,FALSE,9,10,23,0,23,/m/023qfd
,,,,,,,
8048,FALSE,24,25,23,0,23,/m/01fm07
,,,,,,,
8139,FALSE,25,26,23,0,23,/m/02ln1
,,,,,,,
8151,FALSE,25,26,23,0,23,/m/0ct9_
,,,,,,,
8159,FALSE,51,52,23,0,23,/m/03cvvlg
,,,,,,,
8320,FALSE,31,32,23,0,23,/m/01nkxvx
,,,,,,,
8523,FALSE,23,24,23,0,23,/m/034q3l
,,,,,,,
8637,FALSE,17,18,23,0,23,/m/07ypt
,,,,,,,
8765,FALSE,32,33,23,0,23,/m/03v1xb
,,,,,,,
8803,FALSE,12,13,23,0,23,/m/06w7mlh
,,,,,,,
8872,FALSE,35,36,23,0,23,/m/095zvfg
,,,,,,,
8927,FALSE,19,20,23,0,23,/m/017mbb
,,,,,,,
9070,FALSE,49,50,23,0,23,/m/0jdr0
,,,,,,,
9085,FALSE,40,41,23,0,23,/m/04xg2f
,,,,,,,
9431,FALSE,27,28,23,0,23,/m/06cddt
,,,,,,,
9433,FALSE,36,37,23,0,23,/m/0f2s6
,,,,,,,
9578,FALSE,30,31,23,0,23,/m/056xkh
,,,,,,,
9592,FALSE,30,31,23,0,23,/m/04ynx7
,,,,,,,
9672,FALSE,14,15,23,0,23,/m/054fvj
,,,,,,,
9701,FALSE,32,33,23,0,23,/m/03hp2y1
,,,,,,,
9770,FALSE,26,27,23,0,23,/m/01hmb_
,,,,,,,
9836,FALSE,17,18,23,0,23,/m/02wyc0
,,,,,,,
9890,FALSE,26,27,23,0,23,/m/01_r9k
,,,,,,,
9903,FALSE,30,31,23,0,23,/m/0164b
,,,,,,,
9905,FALSE,33,34,23,0,23,/m/01zhp
,,,,,,,
9918,FALSE,26,27,23,0,23,/m/01wqpnm
,,,,,,,
10051,FALSE,31,32,23,0,23,/m/0557q
,,,,,,,
10116,FALSE,30,31,23,0,23,/m/085wqm
,,,,,,,
10470,FALSE,6,7,23,0,23,/m/01n43d
,,,,,,,
10567,FALSE,19,20,23,0,23,/m/0jdm8
,,,,,,,
10874,FALSE,22,23,23,0,23,/m/0k525
,,,,,,,
10944,FALSE,21,22,23,0,23,/m/03ylxn
,,,,,,,
11457,FALSE,43,44,23,0,23,/m/0g55tzk
,,,,,,,
11616,FALSE,36,37,23,0,23,/m/01f2q5
,,,,,,,
11704,FALSE,33,34,23,0,23,/m/01vh3r
,,,,,,,
12023,FALSE,26,27,23,0,23,/m/02pbrn
,,,,,,,
12033,FALSE,16,17,23,0,23,/m/0h6l4
,,,,,,,
12558,FALSE,11,12,23,0,23,/m/04ck0_
,,,,,,,
13820,FALSE,9,10,23,0,23,/m/01b3bp
,,,,,,,
2412,FALSE,406,407,251,1,250,/m/03h64
,,,,,,,
855,FALSE,394,395,244,1,243,/m/0ctw_b
,,,,,,,
88,FALSE,35,36,22,0,22,/m/0l6qt
,,,,,,,
90,FALSE,56,57,22,0,22,/m/083shs
,,,,,,,
117,FALSE,49,50,22,0,22,/m/06j0md
,,,,,,,
219,FALSE,10,11,22,0,22,/m/0fm9_
,,,,,,,
269,FALSE,39,40,22,0,22,/m/02zq43
,,,,,,,
271,FALSE,34,35,22,0,22,/m/0czyxs
,,,,,,,
435,FALSE,55,56,22,0,22,/m/01wl38s
,,,,,,,
487,FALSE,31,32,22,0,22,/m/02w2bc
,,,,,,,
611,FALSE,28,29,22,0,22,/m/0kfpm
,,,,,,,
786,FALSE,27,28,22,0,22,/m/03_vx9
,,,,,,,
861,FALSE,41,42,22,0,22,/m/08433
,,,,,,,
1253,FALSE,33,34,22,0,22,/m/0bscw
,,,,,,,
1257,FALSE,39,40,22,0,22,/m/02pjc1h
,,,,,,,
1633,FALSE,29,30,22,0,22,/m/012zng
,,,,,,,
1673,FALSE,22,23,22,0,22,/m/0261g5l
,,,,,,,
1774,FALSE,46,47,22,0,22,/m/0gz5hs
,,,,,,,
1822,FALSE,17,18,22,0,22,/m/022xml
,,,,,,,
